#Component_name,comp_id,modenum,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,flux_peak,flux_int,x0_1_maxl,dx_1_maxl,y0_1_maxl,abs_peakz_median,abs_peakz_siglo,abs_peakz_sighi,abs_peakopd_median,abs_peakopd_siglo,abs_peakopd_sighi,abs_intopd_median(km/s),abs_intopd_siglo(km/s),abs_intopd_sighi(km/s),abs_width_median(km/s),abs_width_siglo(km/s),abs_width_sighi(km/s),ln(B)_mean,ln(B)_sigma,chisq_mean,chisq_sigma,field
J220031-531156,component_12a,1,22:00:31.4,-53:11:56,330.130648,-53.198947,433.047,451.177,0.80450156,39.14379528,0.15357471,0.80449726,0.00000529,0.00000586,0.14957809,0.01487903,0.01609814,6.20507978,0.58291719,0.63380125,41.50655168,3.01932600,3.47252519,52.8631,0.130903,1.75441,0.0113402,FLASH_158
J221437-521100,component_20a,2,22:14:37.1,-52:11:00,333.654786,-52.183249,270.616,304.625,0.85054337,49.72556937,0.14595404,0.85055247,0.00003543,0.00000695,0.14235537,0.01407737,0.01417660,7.51473815,0.67068026,0.74892827,52.85398117,3.60645977,4.14939791,55.2764,0.132228,1.67286,0.0113402,FLASH_158
J220620-511930,component_13a,2,22:06:20.1,-51:19:30,331.583726,-51.325209,435.73,468.007,0.85054595,58.29086568,0.06620240,0.85055077,0.00002792,0.00001018,0.06535853,0.00629914,0.00612419,4.03926350,0.36787873,0.36825751,61.65693261,4.82313174,5.49181813,64.5734,0.125554,1.72633,0.0113402,FLASH_158
J221910-485342,component_66b,1,22:19:10.4,-48:53:42,334.793405,-48.895130,105.976,161.844,0.80449748,41.87058292,0.59707335,0.80449645,0.00000654,0.00000631,0.57915482,0.06363157,0.07682908,25.99696176,2.58262731,2.47752650,44.61253000,3.74910953,3.70429180,69.3386,0.127306,1.70259,0.0113402,FLASH_158
J221910-485329,component_66a,1,22:19:10.1,-48:53:29,334.792252,-48.891662,120.613,184.549,0.80449903,41.40145783,0.48218206,0.80449710,0.00000601,0.00000630,0.47523098,0.05071263,0.05622094,20.84862213,1.99449331,1.94735769,43.76460159,3.53943804,3.61270566,69.7219,0.126098,1.69171,0.0113402,FLASH_158
J220315-485755,component_22a,1,22:03:15.9,-48:57:55,330.816098,-48.965449,310.574,424.279,0.80454507,35.05592560,0.16998935,0.80453930,0.00000480,0.00000497,0.15303114,0.01096051,0.00946951,6.05828890,0.52947415,0.37637645,39.32513672,2.33149223,2.95812153,73.8584,0.137761,1.73983,0.0113402,FLASH_158
J220948-492515,component_8a,1,22:09:48.0,-49:25:15,332.450036,-49.420872,621.573,648.399,0.80449938,41.69862615,0.07808739,0.80449729,0.00000556,0.00000592,0.07614924,0.00636784,0.00683095,3.37188335,0.27363035,0.28099176,44.24443382,2.62223375,2.82870165,82.0785,0.130838,1.5754,0.0113402,FLASH_158
J220948-492515,component_8a,2,22:09:48.0,-49:25:15,332.450036,-49.420872,621.573,648.399,0.85056465,57.64855164,0.04505887,0.85055972,0.00000931,0.00001496,0.04368199,0.00417405,0.00420552,2.66279180,0.23679704,0.23881354,60.86346384,4.83391751,5.54397590,63.2761,0.127297,1.57795,0.0113402,FLASH_158
J222034-520835,component_44b,1,22:20:34.1,-52:08:35,335.142105,-52.143247,194.495,203.883,0.80446958,43.14138874,0.29534484,0.80445895,0.00000631,0.00003318,0.28911939,0.02526608,0.02564331,13.21899723,1.07138254,1.10019078,45.79211740,2.80475799,2.83129544,85.2265,0.127234,1.71504,0.0113402,FLASH_158
J222110-501807,component_39b,2,22:21:10.7,-50:18:07,335.294689,-50.302179,146.929,223.74,0.80448992,43.99901155,0.45806290,0.80449368,0.00000709,0.00000512,0.45103628,0.04118921,0.04181865,20.90100262,1.66273134,1.76281138,46.43961869,2.82798955,2.77590574,96.183,0.13476,1.70759,0.0113402,FLASH_158
